"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"english",0,"Male",22,"none","none","Yes","1.00",2
1,"English",1,"Male",28,"no","","Yes","1.00",3
2,"English",1,"Male",38,"no","","Yes",".8",4
3,"English",0,"",45,"no","","Yes","1.00",0
4,"english",1,"Female",42,"no","good Luck!","Yes",".80",3
5,"english",0,"Female",40,"No","","Yes","1 dollar",1
6,"english",1,"Male",38,"no","","Yes",".80",3
7,"English",0,"Female",42,"no","","Yes","yes",3
8,"English",1,"Female",55,"No.","Thank you.","Yes","2.00",3
9,"English",1,"Male",44,"no","no","Yes","0.75",2
10,"English",0,"Male",23,"","","Yes","0.9",2
11,"english",1,"Male",40,"","none","Yes","1.50",4
12,"English",1,"Male",36,"No","","Yes","$1",3
13,"english",0,"Male",31,"nope!","","Yes","bit low",1
14,"English",1,"Female",35,"None","Thank you!
","Yes","2.00",3
15,"Telugu",1,"Female",36,"no","","Yes","yes",3
16,"English",0,"Male",38,"No","","Yes","1.00",3
17,"English",0,"Male",35,"","","Yes","1.00",1
18,"english",0,"Female",34,"No","","Yes",NA,3
19,"English",1,"Male",33,"No issues","No concerns","Yes","0.8",3
20,"English",0,"Male",21,"None","","Yes","0.8",3
21,"english",0,"Male",26,"no","","Yes",NA,3
22,"English",1,"Female",32,"no","it was strange that ""pangolin"" is a real animal and most of the other words were made up","Yes",NA,3
23,"English",1,"Female",80,"no","interesting","Yes",NA,2
24,"English",0,"Female",27,"no","","Yes","0.8",3
25,"English",1,"Male",51,"There were no problems or bugs in the experiment.","Thanks for the opportunity to participate and good luck with your research!","Yes","0.8",4
26,"english",1,"Female",47,"No","No additional comments","Yes",NA,2
27,"Bulgarian",1,"Male",28,"No","","Yes","0.8",3
28,"english",1,"Female",61,"no","","Yes","1.50",1
29,"English",0,"Female",58,"No.","","No","1.00",3
30,"English",1,"Male",58,"no","kinda fun","Yes","1.00",3
31,"English",0,"Female",43,"None","None","Yes","1.00",3
32,"english",0,"Female",32,"no","","Yes","1.00",1
33,"english",0,"Female",48,"no","","Yes",".50",2
34,"Spanish",1,"Male",20,"","","Yes","100 cents",2
35,"Tamil",0,"Female",35,"None","Fun study","Yes","1.50",4
