"workerid","category","trial_type","property","trial_num","rt","slider_num","property_type","response"
0,NA,"category_elicitation",NA,NA,NA,NA,NA,"goats"
0,NA,"category_elicitation",NA,NA,NA,NA,NA,"cows"
0,NA,"category_elicitation",NA,NA,NA,NA,NA,"cats"
0,NA,"category_elicitation",NA,NA,NA,NA,NA,"dogs"
0,NA,"category_elicitation",NA,NA,NA,NA,NA,"turtles"
0,"goats","prevalence_elicitation","like to cuddle",1,13655,1,"behavior","0.12"
0,"cows","prevalence_elicitation","like to cuddle",1,13655,2,"behavior","0.28"
0,"cats","prevalence_elicitation","like to cuddle",1,13655,3,"behavior","0.88"
0,"dogs","prevalence_elicitation","like to cuddle",1,13655,4,"behavior","0.87"
0,"turtles","prevalence_elicitation","like to cuddle",1,13655,5,"behavior","0"
0,"goats","prevalence_elicitation","sleep during the day",2,11947,1,"behavior","0.68"
0,"cows","prevalence_elicitation","sleep during the day",2,11947,2,"behavior","0.57"
0,"cats","prevalence_elicitation","sleep during the day",2,11947,3,"behavior","1"
0,"dogs","prevalence_elicitation","sleep during the day",2,11947,4,"behavior","0.68"
0,"turtles","prevalence_elicitation","sleep during the day",2,11947,5,"behavior",NA
0,"goats","prevalence_elicitation","experience empathy",3,8982,1,"psychological","0.32"
0,"cows","prevalence_elicitation","experience empathy",3,8982,2,"psychological","0.2"
0,"cats","prevalence_elicitation","experience empathy",3,8982,3,"psychological","0.31"
0,"dogs","prevalence_elicitation","experience empathy",3,8982,4,"psychological","0.31"
0,"turtles","prevalence_elicitation","experience empathy",3,8982,5,"psychological","0.77"
0,"goats","prevalence_elicitation","perform in the circus",4,17964,1,"behavior","0"
0,"cows","prevalence_elicitation","perform in the circus",4,17964,2,"behavior","0"
0,"cats","prevalence_elicitation","perform in the circus",4,17964,3,"behavior","0"
0,"dogs","prevalence_elicitation","perform in the circus",4,17964,4,"behavior","0.01"
0,"turtles","prevalence_elicitation","perform in the circus",4,17964,5,"behavior","0"
0,"goats","prevalence_elicitation","ride the subway",5,14877,1,"behavior","0"
0,"cows","prevalence_elicitation","ride the subway",5,14877,2,"behavior","0"
0,"cats","prevalence_elicitation","ride the subway",5,14877,3,"behavior","0"
0,"dogs","prevalence_elicitation","ride the subway",5,14877,4,"behavior","0.01"
0,"turtles","prevalence_elicitation","ride the subway",5,14877,5,"behavior","0"
0,"goats","prevalence_elicitation","play with bottlecaps",6,11510,1,"behavior","0"
0,"cows","prevalence_elicitation","play with bottlecaps",6,11510,2,"behavior","0"
0,"cats","prevalence_elicitation","play with bottlecaps",6,11510,3,"behavior","0"
0,"dogs","prevalence_elicitation","play with bottlecaps",6,11510,4,"behavior","0"
0,"turtles","prevalence_elicitation","play with bottlecaps",6,11510,5,"behavior","0"
0,"goats","prevalence_elicitation","sing beautiful songs",7,9502,1,"behavior","0"
0,"cows","prevalence_elicitation","sing beautiful songs",7,9502,2,"behavior","0"
0,"cats","prevalence_elicitation","sing beautiful songs",7,9502,3,"behavior","0"
0,"dogs","prevalence_elicitation","sing beautiful songs",7,9502,4,"behavior","0"
0,"turtles","prevalence_elicitation","sing beautiful songs",7,9502,5,"behavior","0"
0,"goats","prevalence_elicitation","fly into building windows",8,9375,1,"behavior","0"
0,"cows","prevalence_elicitation","fly into building windows",8,9375,2,"behavior","0"
0,"cats","prevalence_elicitation","fly into building windows",8,9375,3,"behavior","0"
0,"dogs","prevalence_elicitation","fly into building windows",8,9375,4,"behavior","0"
0,"turtles","prevalence_elicitation","fly into building windows",8,9375,5,"behavior","0"
0,"goats","prevalence_elicitation","go bald",9,8736,1,"disease_self","0"
0,"cows","prevalence_elicitation","go bald",9,8736,2,"disease_self","0"
0,"cats","prevalence_elicitation","go bald",9,8736,3,"disease_self","0"
0,"dogs","prevalence_elicitation","go bald",9,8736,4,"disease_self","0"
0,"turtles","prevalence_elicitation","go bald",9,8736,5,"disease_self","0"
0,"goats","prevalence_elicitation","feed on the carcasses of dead animals",10,22462,1,"diet","0.17"
0,"cows","prevalence_elicitation","feed on the carcasses of dead animals",10,22462,2,"diet","0.1"
0,"cats","prevalence_elicitation","feed on the carcasses of dead animals",10,22462,3,"diet","0.75"
0,"dogs","prevalence_elicitation","feed on the carcasses of dead animals",10,22462,4,"diet","0.75"
0,"turtles","prevalence_elicitation","feed on the carcasses of dead animals",10,22462,5,"diet","0.07"
0,"goats","prevalence_elicitation","attack hikers",11,15782,1,"behavior_aggressive","0.01"
0,"cows","prevalence_elicitation","attack hikers",11,15782,2,"behavior_aggressive","0.01"
0,"cats","prevalence_elicitation","attack hikers",11,15782,3,"behavior_aggressive","0"
0,"dogs","prevalence_elicitation","attack hikers",11,15782,4,"behavior_aggressive","0"
0,"turtles","prevalence_elicitation","attack hikers",11,15782,5,"behavior_aggressive","0"
0,"goats","prevalence_elicitation","develop back problems",12,10012,1,"disease_self","0"
0,"cows","prevalence_elicitation","develop back problems",12,10012,2,"disease_self","0"
0,"cats","prevalence_elicitation","develop back problems",12,10012,3,"disease_self","0"
0,"dogs","prevalence_elicitation","develop back problems",12,10012,4,"disease_self","0"
