model,distribution,iteration,state,prob
prior,half_or_deterministic,4101,0.975,0.2135572885422916
prior,half_or_deterministic,4101,0.925,0.09998000399920016
prior,half_or_deterministic,4101,0.875,0.009098180363927216
prior,half_or_deterministic,4101,0.825,0.05458908218356329
prior,half_or_deterministic,4101,0.775,0.02269546090781844
prior,half_or_deterministic,4101,0.725,0.040891821635672856
prior,half_or_deterministic,4101,0.675,0.049990001999600076
prior,half_or_deterministic,4101,0.625,0.040891821635672856
prior,half_or_deterministic,4101,0.575,0.08178364327134573
prior,half_or_deterministic,4101,0.525,0.05458908218356329
prior,half_or_deterministic,4101,0.475,0.18636272745450913
prior,half_or_deterministic,4101,0.425,0.03639272145570886
prior,half_or_deterministic,4101,0.375,0.004599080183963209
prior,half_or_deterministic,4101,0.325,0.013597280543891218
prior,half_or_deterministic,4101,0.275,0.013597280543891218
prior,half_or_deterministic,4101,0.225,0.013597280543891218
prior,half_or_deterministic,4101,0.175,0.004599080183963209
prior,half_or_deterministic,4101,0.125,0.004599080183963209
prior,half_or_deterministic,4101,0.075,0.004599080183963209
prior,half_or_deterministic,4101,0.025,0.049990001999600076
literal,half_or_deterministic,4101,0.025,0.0019226746403829332
literal,half_or_deterministic,4101,0.075,0.0004952809873626434
literal,half_or_deterministic,4101,0.125,0.0008490531211931032
literal,half_or_deterministic,4101,0.175,0.0012028252550235635
literal,half_or_deterministic,4101,0.225,0.004602114019220593
literal,half_or_deterministic,4101,0.275,0.005648049023588903
literal,half_or_deterministic,4101,0.325,0.006693984027957222
literal,half_or_deterministic,4101,0.375,0.0026179137903454036
literal,half_or_deterministic,4101,0.425,0.023515079921739433
literal,half_or_deterministic,4101,0.475,0.1347533439157345
literal,half_or_deterministic,4101,0.525,0.04367086271180183
literal,half_or_deterministic,4101,0.575,0.0717173022259958
literal,half_or_deterministic,4101,0.625,0.03900414682466438
literal,half_or_deterministic,4101,0.675,0.05152768036226268
literal,half_or_deterministic,4101,0.725,0.045295138247997344
literal,half_or_deterministic,4101,0.775,0.026885144031402665
literal,half_or_deterministic,4101,0.825,0.0688655911993798
literal,half_or_deterministic,4101,0.875,0.012177452102329355
literal,half_or_deterministic,4101,0.925,0.141508853532184
literal,half_or_deterministic,4101,0.975,0.3170475100594338
pragmatic_unlifted,half_or_deterministic,4101,0.025,0.00006625760419673857
